PHYSIO2BIDS -- 2018-11-01 14:55:19.760830
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess11/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess11/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI1/ses-11/func
-------------------------------------------------
Conversion target: Physio_log_20171207_132726_ddb1af91-c7a5-43f5-8827-e3d8a9927669.resp	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_142622_6c810033-6aaa-430b-b7ff-98edcf2fbd35.resp	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_141850_15575278-62ea-413b-a121-1c75e648ccea.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_141850_15575278-62ea-413b-a121-1c75e648ccea.resp	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_141016_ca6d905d-68a2-47ae-a4e1-e67a82688d79.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_132726_ddb1af91-c7a5-43f5-8827-e3d8a9927669.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_135021_e711c73e-9b72-4f4e-bb66-2f171a43b9d3.resp	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_144132_0db8b87d-f0a0-4ea8-bbc4-05d24e474276.resp	MATCHED TO sub-CSI1_ses-11_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_133525_13225b59-479a-48c2-b081-df9179c75b48.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_135759_de18fed2-7c09-43e9-b781-a8ec8632d26d.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_142622_6c810033-6aaa-430b-b7ff-98edcf2fbd35.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_134255_1a032e84-a379-4e30-b772-aef93ae2cb65.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_144132_0db8b87d-f0a0-4ea8-bbc4-05d24e474276.puls	MATCHED TO sub-CSI1_ses-11_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_143401_0e6e0d1a-1651-46b9-9678-29d34b3d6677.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_135759_de18fed2-7c09-43e9-b781-a8ec8632d26d.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_133525_13225b59-479a-48c2-b081-df9179c75b48.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_141850_15575278-62ea-413b-a121-1c75e648ccea.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_141016_ca6d905d-68a2-47ae-a4e1-e67a82688d79.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_142622_6c810033-6aaa-430b-b7ff-98edcf2fbd35.puls	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_133525_13225b59-479a-48c2-b081-df9179c75b48.resp	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_135021_e711c73e-9b72-4f4e-bb66-2f171a43b9d3.ext	MATCHED TO sub-CSI1_ses-11_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
