PHYSIO2BIDS -- 2018-11-01 14:56:04.256589
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess09/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess09/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI4/ses-09/func
-------------------------------------------------
Conversion target: Physio_log_20171215_140128_a0eacc50-3203-4d97-827e-5b7e889c0d5e.puls	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-10_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_140128_a0eacc50-3203-4d97-827e-5b7e889c0d5e.ext	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-10_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_125544_29b73594-da36-4c0e-b41d-915a5d19c628.ext	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_130316_e7f8731f-18fc-455a-ad26-770424b25fc7.puls	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_135345_f6570eda-724b-4e42-b351-97006bea23d9.puls	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_125544_29b73594-da36-4c0e-b41d-915a5d19c628.puls	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_134604_1dde5f11-ea87-43c9-a736-0751698ce570.ext	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_131036_630bbf4d-c567-4e1d-ae8e-57112510f471.puls	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171215_131036_630bbf4d-c567-4e1d-ae8e-57112510f471.ext	MATCHED TO sub-CSI4_ses-09_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
