PHYSIO2BIDS -- 2018-11-01 14:55:30.877351
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess07/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess07/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI2/ses-07/func
-------------------------------------------------
Conversion target: Physio_log_20171201_151645_e1dc54cd-e2b7-43dc-b107-8586ea8cc20e.resp	MATCHED TO sub-CSI2_ses-07_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150844_b7484288-103a-4c95-9768-8504866808ba.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_141650_9fd01727-faa7-466d-b44e-c09dfa3384b6.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_151645_e1dc54cd-e2b7-43dc-b107-8586ea8cc20e.puls	MATCHED TO sub-CSI2_ses-07_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140923_2469cd5b-1e7a-4a2f-a4f0-59d53986e861.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140923_2469cd5b-1e7a-4a2f-a4f0-59d53986e861.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150107_3ce61a67-77af-457a-b440-c11c3327b76a.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150844_b7484288-103a-4c95-9768-8504866808ba.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-09_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_142442_7b983434-8736-47f2-9297-34b154f938f5.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_143224_cc517dd8-8baf-4111-bb3b-7f2f3e2e77c6.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_145308_df7b6087-086e-45b5-afa8-4d205ada6893.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_144456_b79fefa3-7b15-4ef9-812c-42b918fc3000.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_143224_cc517dd8-8baf-4111-bb3b-7f2f3e2e77c6.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140144_1afb0583-ca6b-4843-ac2f-fb671f437052.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_145308_df7b6087-086e-45b5-afa8-4d205ada6893.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150844_b7484288-103a-4c95-9768-8504866808ba.puls	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_141650_9fd01727-faa7-466d-b44e-c09dfa3384b6.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140144_1afb0583-ca6b-4843-ac2f-fb671f437052.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140144_1afb0583-ca6b-4843-ac2f-fb671f437052.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_144456_b79fefa3-7b15-4ef9-812c-42b918fc3000.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_151645_e1dc54cd-e2b7-43dc-b107-8586ea8cc20e.ext	MATCHED TO sub-CSI2_ses-07_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_140923_2469cd5b-1e7a-4a2f-a4f0-59d53986e861.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_144456_b79fefa3-7b15-4ef9-812c-42b918fc3000.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_145308_df7b6087-086e-45b5-afa8-4d205ada6893.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150107_3ce61a67-77af-457a-b440-c11c3327b76a.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_142442_7b983434-8736-47f2-9297-34b154f938f5.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_143224_cc517dd8-8baf-4111-bb3b-7f2f3e2e77c6.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_150107_3ce61a67-77af-457a-b440-c11c3327b76a.resp	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_141650_9fd01727-faa7-466d-b44e-c09dfa3384b6.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-03_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171201_142442_7b983434-8736-47f2-9297-34b154f938f5.ext	MATCHED TO sub-CSI2_ses-07_task-5000scenes_run-04_recording-trigger_physio	CONVERTED FILES WRITTEN
