PHYSIO2BIDS -- 2018-11-01 14:56:00.987917
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess06/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess06/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI4/ses-06/func
-------------------------------------------------
Conversion target: Physio_log_20171207_125640_acc696ae-09eb-49e6-8b10-98dd77516f37.ext	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_124845_87b2594a-8de0-4729-81a8-6fc3b774dc91.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_124119_257ac8cf-df01-4e6e-987e-4c6367168139.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-06_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_131217_8d2f474b-665e-4083-9106-d875cd7765d2.puls	MATCHED TO sub-CSI4_ses-06_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_122007_0d36289f-a410-41db-bfa4-dd145d7abace.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_120457_1fa066d0-1471-4841-815d-dc5fce60255e.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_122007_0d36289f-a410-41db-bfa4-dd145d7abace.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_131217_8d2f474b-665e-4083-9106-d875cd7765d2.ext	MATCHED TO sub-CSI4_ses-06_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_124119_257ac8cf-df01-4e6e-987e-4c6367168139.ext	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_124845_87b2594a-8de0-4729-81a8-6fc3b774dc91.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_125640_acc696ae-09eb-49e6-8b10-98dd77516f37.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_122751_4abe10bb-2db3-4225-980b-0c5216adbca6.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-05_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_122751_4abe10bb-2db3-4225-980b-0c5216adbca6.ext	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_130423_b7be5e11-65f5-4740-89cf-f0dc0fbcc696.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_115658_1999fb2d-a84c-46d2-a283-ca5f2067a7b1.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-01_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_120457_1fa066d0-1471-4841-815d-dc5fce60255e.resp	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_131217_8d2f474b-665e-4083-9106-d875cd7765d2.resp	MATCHED TO sub-CSI4_ses-06_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171207_125640_acc696ae-09eb-49e6-8b10-98dd77516f37.puls	MATCHED TO sub-CSI4_ses-06_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
