PHYSIO2BIDS -- 2018-11-01 14:55:29.840778
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess06/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI2/CSI2_sess06/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI2/ses-06/func
-------------------------------------------------
Conversion target: Physio_log_20171128_140756_ebf403b5-4360-42e8-9c4d-e8b647d8c253.ext	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_130918_b1f96019-9bcd-4b50-9b58-6cae0689bf54.ext	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-01_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_130918_b1f96019-9bcd-4b50-9b58-6cae0689bf54.puls	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-01_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_132442_a2a12263-920d-4393-ba92-6f6bd324ff99.puls	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_140021_48a186d6-9887-4f39-825c-6588b2398ecb.puls	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_135224_5af81757-b5c1-4d66-a527-a94dffa741b5.puls	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_132442_a2a12263-920d-4393-ba92-6f6bd324ff99.resp	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-03_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_142254_2f78c989-4a05-44f3-950c-ba4e7a0cfe34.puls	MATCHED TO sub-CSI2_ses-06_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_135224_5af81757-b5c1-4d66-a527-a94dffa741b5.ext	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_133927_766d1714-8525-4aba-8b0c-7d1de7df59c7.ext	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_140021_48a186d6-9887-4f39-825c-6588b2398ecb.resp	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-07_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171128_133149_b4428790-de56-404f-8d2a-6274df5c3581.puls	MATCHED TO sub-CSI2_ses-06_task-5000scenes_run-04_recording-cardiac_physio	CONVERTED FILES WRITTEN
