PHYSIO2BIDS -- 2018-11-01 14:55:57.748093
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess03/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI4/CSI4_sess03/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI4/ses-03/func
-------------------------------------------------
Conversion target: Physio_log_20171130_104610_d494efdc-ceb6-4148-908a-b25754011efa.puls	MATCHED TO sub-CSI4_ses-03_task-localizer__recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_102307_d7d2a249-c951-47cc-863b-1513f38c917b.ext	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-07_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_095456_f441f45d-ae08-422d-b983-771d05e6dc98.resp	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-04_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_103044_c150074c-ecf1-479c-b9b9-e6ae639acb2d.resp	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-08_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_103044_c150074c-ecf1-479c-b9b9-e6ae639acb2d.ext	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-08_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_093945_104de184-e8c5-4751-a352-161fdccac9e6.resp	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_100236_9c1d108b-e4d6-47bb-add6-f564a71e0378.ext	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_104610_d494efdc-ceb6-4148-908a-b25754011efa.ext	MATCHED TO sub-CSI4_ses-03_task-localizer__recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_103044_c150074c-ecf1-479c-b9b9-e6ae639acb2d.puls	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-08_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_101509_dea8839e-a0c1-4380-8c43-0060580ce1ca.puls	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_103834_05fe9f80-93cf-41bf-8d68-c2f79fc3ba80.resp	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-09_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_104610_d494efdc-ceb6-4148-908a-b25754011efa.resp	MATCHED TO sub-CSI4_ses-03_task-localizer__recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171130_102307_d7d2a249-c951-47cc-863b-1513f38c917b.puls	MATCHED TO sub-CSI4_ses-03_task-5000scenes_run-07_recording-cardiac_physio	CONVERTED FILES WRITTEN
