PHYSIO2BIDS -- 2018-11-01 14:55:15.265692
-------------------------------------------------
DICOM directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess07/	Physio directory: /media/tarrlab/scenedata/5000Scenes/5000Scenes_fMRI_raw/CSI1/CSI1_sess07/physio	Output directory: /media/tarrlab/scenedata2/5000_BIDS/sub-CSI1/ses-07/func
-------------------------------------------------
Conversion target: Physio_log_20171120_123702_8d5173b0-219b-4522-81bd-0b74e5abdab2.resp	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-05_recording-respiratory_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_123702_8d5173b0-219b-4522-81bd-0b74e5abdab2.ext	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-05_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_121401_88ba5920-2065-4215-a355-791cec3a1d48.ext	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-02_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_124912_4cedafb1-168e-4a87-8862-59405ed7535c.ext	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-06_recording-trigger_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_131223_123c65e5-4b8c-436c-92ef-27f88c728387.puls	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-09_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_124912_4cedafb1-168e-4a87-8862-59405ed7535c.puls	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-06_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_122132_eb21b7b7-d3b4-4884-99d0-ce7ba153b1a3.puls	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-03_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_121401_88ba5920-2065-4215-a355-791cec3a1d48.puls	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-02_recording-cardiac_physio	CONVERTED FILES WRITTEN
Conversion target: Physio_log_20171120_121401_88ba5920-2065-4215-a355-791cec3a1d48.resp	MATCHED TO sub-CSI1_ses-07_task-5000scenes_run-02_recording-respiratory_physio	CONVERTED FILES WRITTEN
